=== REPORTE DE TRAMPA ARMÓNICA GEO EXP 05 ===
PASO    RADIO     THETA(°)    A_VIS     B_SOM     F_NETA      
0       0.6       42.71       0.7348    0.6783    0.157093    
800     2.9537    0.57        1.0       0.01      0.113469    
1600    3.9971    0.57        1.0       0.01      0.061962    
2400    4.116     0.57        1.0       0.01      0.058432    
3200    3.3691    0.57        1.0       0.01      0.087215    
4000    1.2764    27.21       0.8894    0.4572    0.26527     
4800    2.4092    1.24        0.9998    0.0217    0.168506    
5600    3.8054    0.57        1.0       0.01      0.068361    
6400    4.1661    0.57        1.0       0.01      0.057037    
7200    3.6836    0.57        1.0       0.01      0.072958    
